ID,Query,Gold_label,Note,Coding,Definition,Grambank_ID_desc
GB035,Are there three or more distance contrasts in demonstratives?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Find 'demonstratives'.
2. Code 1 if there are three or more adnominal demonstratives marking different degrees of distance, including distance from the speaker or interlocutor.
3. Code 0 if there are less than three adnominal demonstratives marking different degrees of distance, including distance from the speaker or interlocutor.","Demonstratives are modifiers that can modify nouns (of any type and not just a restricted set such as location nouns) to mark position (e.g. deixis or reference within discourse). This doesn't have to be only Euclidean distance (meters, inches etc.), it could also be concerned with near or far in relation to the interlocutors (cf. Wolof). If the system of adnominal demonstratives includes an anaphoric demonstrative this does not count as a third distance.",GB035 DEMDistContrast
GB036,Do demonstratives show an elevation distinction?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Find adnominal demonstratives, which are modifiers that can modify nouns (of any type and not just a restricted set such as location nouns) to mark position. 
2. Code 1 if there are adnominal demonstratives that specifically communicate an elevation distinction to the speaker or interlocutor, rather than just near or far distance such as in [GB035](https://github.com/grambank/grambank/wiki/GB035).",Elevation is concerned with how high or how low an object is (in altitude).,GB036 DEMElevation
GB037,Do demonstratives show a visible-nonvisible distinction?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Find 'demonstratives', which are modifiers that can modify nouns (of any type and not just a restricted set such as location nouns) to mark position.
2. Code 1 if there are adnominal demonstratives that specifically communicate that something is invisible/visible to the speaker or interlocutor, rather than just near or far distance.",Is there a distinction visible vs. non-visible when referencing to items that are the same relative distance? It is not relevant that adnominal demonstratives denoting far away reference often also imply non-visibility.,GB037 DEMVisNonvis
GB039,Is there nonphonological allomorphy of noun number markers?,1,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Code 1 if there are elements marking number on nouns (excluding pronouns), whether they are attached to the noun or not,
2. And it is not entirely predictable what the plural marker will be by looking at the singular marker on the nouns and vice versa. 
3. Code 0 if you can predict what the plural marker will be from the singular marking and vice versa.","Are there different number markers for a single number category? And is the choice between these markers unpredictable from the marker a noun receives in another number category? For example, are there different plural markers while there is only one (or no) singular marker? Or do two nouns receive different singular markers but the same plural marker? This feature targets bound number markers, free number markers, and clitics.",GB039 NounNUMAllomorph
GB041,Are there several nouns (more than three) which are suppletive for number?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Code 1 if there are four or more examples of nouns which have a suppletive forms for number.
2. If there are 3 or fewer examples, consider whether the author describes these as special exceptions (in which case, code 0) or part of a larger group (in which case, code 1).
3. If all examples only feature 'weak suppletion', code 0.
4. If there is little description of number marking of nouns in general, code ?.","Suppletion is a process where a lexeme is changed in such a way that the new form does not resemble the previous when it appears in a different position in the paradigm. An example of this is English _went_ and _go_. In this case, the verb is suppletive for tense. Only so called 'strong suppletion' counts here, 'weak' suppletion is not included. 

Only answer 1 if there are more than three examples of strong suppletion. Body parts and kinship terms are a good place to start investigating.",GB041 NUMSupplNoun
GB042,Is there productive overt morphological singular marking on nouns?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Consider the section in the grammar that deals with number or nominal morphology.
2. If the author describes a bound marker of singular number on the noun that occurs regularly, code 1.
3. If the only marking of singular number occurs on nouns derived from other word classes (adjectives, verbs, etc.), or if it only occurs only a small subset of nouns, code 0.
4. If the grammar mentions that singular number is not marked productively, or that it is marked somewhere else than on the noun, code as 0.
5. If the grammar does not describe number marking at all and you have a reason to believe that the author may have missed it, code ?.
6. If the grammar does not describe number, you encounter no examples of number marking, and the grammar is otherwise comprehensive, code 0.","This question concerns a bound grammatical marker of singular number on nouns. The marker should occur with an [open set of nouns](https://github.com/grambank/grambank/wiki/Productivity), not with a restricted set. Absence of plural marking does not count for a 1 here (hence the emphasis on ‘overt’ in the feature question). This feature contrasts with [GB316 Is singular number regularly marked in the noun phrase by a phonologically free element?](https://github.com/grambank/Grambank/wiki/GB316) which focuses on the non-bound marking of singular number. For more on bound marking, please see this [page](https://github.com/grambank/Grambank/wiki/%27on-the-verb-noun%27-or-%27by-morphology%27). Bound marking of number on nouns derived from other word classes (such as adjectives or verbs) does not suffice for a 1.

Number marking is often fused with marking of other categories, such as definiteness/specificity or gender/noun class. It is possible for the number marker to also signal other functions and still trigger a 1 code, as long as these other functions do not interfere with the distinctions in number and as long as number marking is productive.",GB042 SingularNoun
GB043,Is there productive morphological dual marking on nouns?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Consider the section in the grammar that deals with number or nominal morphology.
2. If the author describes a bound marker of dual number on the noun that occurs regularly, code 1.
3. If the only marking of dual number occurs on nouns derived from other word classes (adjectives, verbs etc.) or on a small subset of nouns, code 0.
4. If the grammar mentions that dual number is not marked productively, or that it is marked somewhere else than on the noun, code as 0.
5. If the grammar does not describe number marking at all and you have a reason to believe that the author may have missed it, code ?.
6. If the grammar does not describe number, you encounter no examples of number marking, and the grammar is otherwise comprehensive, code 0.","This question concerns a bound grammatical marker of dual number on nouns. The marker should occur with an [open set of nouns](https://github.com/grambank/grambank/wiki/Productivity), not with a restricted set. This feature contrasts with [GB317 Is dual number regularly marked in the noun phrase by a phonologically free element?
](https://github.com/grambank/Grambank/wiki/GB317) which focuses on the non-bound marking of dual number. For more on bound marking, please see [this page](https://github.com/grambank/Grambank/wiki/%27on-the-verb-noun%27-or-%27by-morphology%27). Bound marking of number on nouns derived from other word classes (such as adjectives or verbs) does not suffice for a 1. 

Number marking is often fused with marking of other categories, such as definiteness/specificity or gender/noun class. It is possible for the number marker to also signal other functions and be coded as 1, as long as these other functions do not interfere with the number distinctions and as long as number marking is productive and regular. 

It can be difficult to determine how obligatory markers of dual, trial and paucal number are since they can often be replaced by plural number marking. If the grammar writer describes the marker as denoting grammatical number and there are several examples, this suffices.",GB043 DualBound
GB044,Is there productive morphological plural marking on nouns?,1,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Consider the section in the grammar that deals with number or nominal morphology.
2. If the author describes a bound marker of plural number on the noun that occurs regularly, code 1.
3. If the only marking of plural number occurs on nouns derived from other word classes (adjectives, verbs etc.) or on a small subset of all nouns, code 0.
4. If the only marking of plural number is accomplished by reduplication, code 0.
5. If the grammar mentions that plural number is not marked productively, or that it is marked somewhere else than on the noun, code as 0.
6. If the grammar does not describe number marking at all and you have a reason to believe that the author may have missed it, code ?.
7. If the grammar does not describe number, you encounter no examples of number marking, and the grammar is otherwise comprehensive, code 0.","This question concerns a bound grammatical marker of plural number on nouns. This feature contrasts with [GB318	Is plural number regularly marked in the noun phrase by a phonologically free element?](https://github.com/grambank/Grambank/wiki/GB318) which focuses on non-bound marking of plural number. For more on bound marking, please see [this page](https://github.com/grambank/Grambank/wiki/%27on-the-verb-noun%27-or-%27by-morphology%27). Bound marking of number on nouns derived from other word classes (such as adjectives or verbs) does not suffice for a 1. Reduplication (full or partial) does not count for this feature.

The marker should occur with an [open set of nouns](https://github.com/grambank/grambank/wiki/Productivity), not with a restricted set. Classes of animate nouns or human nouns are large and open enough. Kinship terms however are a restricted set since it is very hard to add new members.

Number marking is often fused with marking of other categories, such as definiteness/specificity or gender/noun class. It is possible for the number marker to also signal other functions and be coded as 1, as long as these other functions do not interfere with the number distinctions and as long as number marking is productive and regular.",GB044 PluralBound
GB047,Is there a productive morphological pattern for deriving an action/state noun from a verb?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Code 1 if there is an element that productively attaches to verbs that forms an action/state nominalization such as *arrival*, *concentration*, etc.  
2. Do not code 1 if the relevant nouns are stated to be nouns in their own right and not derived.
3. If nominalization is not discussed whatsoever, code ?.
4. If nominalization is discussed at some length, but action/state nominalizations are not mentioned, code 0.","An action nominalization derives from a verb and functions like a noun or noun phrase. The result denotes an action or state. In English, we can exemplify this with *the enemy’s **destruction** of the city*. *Arrive* - ***arriving*** could also serves as an example, or, in Spanish, *La **concentración** de Sherlock Holmes duró cinco horas.* ‘Sherlock Holmes’ **concentration** lasted five hours’. This feature targets [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) overt nominalizers, including affixes, clitics, tonal markers, reduplication, ablaut, etc. There needs to be [productive](https://github.com/grambank/grambank/wiki/Productivity) derivation. The derived noun may also refer to states or events in addition to actions. The nominalization strategy may also derive other types of nominalization. Compounds of a verb root and a noun meaning 'action', 'state' or 'event are not action nominalizations unless further grammaticalized.",GB047 NMZActionState
GB048,Is there a productive morphological pattern for deriving an agent noun from a verb?,1,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Code 1 if there is an element that attaches to verbs to form an agentive nominalization such as *singer* from *sing* and if it is not stated that the element is a noun meaning ‘person’.
2. Do not code 1 if the relevant nouns are stated to be nouns in their own right and not derived.
3. If nominalization is not discussed whatsoever, code ?.
4. If nominalization is discussed at some length, but agent nominalization is not mentioned, code 0.","An agent nominalization derives from a verb and functions like a noun or noun phrase. The result denotes the agent of an action. In English, we can exemplify this with the productive _-er_ suffix (_bak-er_, _fish-er_, *garden-er*, etc.). This feature targets [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) overt nominalizers, including affixes, clitics, tonal markers, reduplication, ablaut, etc. This derivation pattern needs to be [productive](https://github.com/grambank/grambank/wiki/Productivity). Compounds of a verb root and a noun meaning 'person' are likely not agent nominalizations.",GB048 NMZAgent
GB049,Is there a productive morphological pattern for deriving an object noun from a verb?,1,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. Code 1 if there is an element which attaches to verbs to form an object nominalization.
2. Do not code 1 if the relevant nouns are stated to be nouns in their own right and not derived.
3. If nominalization is not discussed whatsoever, code ?.
4. If nominalization is discussed at some length, but object nominalization is not mentioned, code 0.","An object nominalization derives from a verb and functions like a noun or noun phrase. The result denotes the object or result of an action (e.g. *song* is derived from *to sing*). This feature targets [phonologically bound](https://github.com/grambank/grambank/wiki/Wordhood-and-phonological-boundness-or-independence) overt nominalizers, including affixes, clitics, tonal markers, reduplication, ablaut, etc. There needs to be [productive](https://github.com/grambank/grambank/wiki/Productivity) derivation for this feature to be coded 1. The nominalization strategy may also derive other types of nominalization. A compound of a verb root and a noun meaning 'thing' is not an object nominalization unless there is evidence that the noun has grammaticalized into an affix. Instrument derivations are not relevant since they do not denote the object resulting from the action/state.",GB049 NMZObject
GB051,Is there a gender/noun class system where sex is a factor in class assignment?,0,Datapoint inherited from Danielsen’s work in the database of South American Indigenous Language Structures (SAILS).,"1. If there is [a system of nominal classification](https://github.com/grambank/grambank/wiki/Noun-Classes-and-Classifiers) where some markers vary based on the category of the noun,
2. And if these markers are **not** used only with numerals, demonstratives, and possessors (or some subset of these categories),
3. And if these markers are involved in [agreement](https://github.com/grambank/grambank/wiki/Agreement) within the noun phrase, inflectional marking of the noun, or correspond to categories of [indexing](https://github.com/grambank/grambank/wiki/Indexing-vs.-pronouns),
4. And if there is a correlation between use of a particular gender marker and the categories masculine and/or feminine, then code 1.
5. Code 0 if there is no class/gender system as defined in steps 1-3 or the assignment of nouns to classes/genders does not include masculine and/or feminine categories.
6. If the language has a gender/noun class system that does not encode a distinction between masculine and feminine, but does encode some other distinction(s) associated with gender/sex, code ? and provide a comment about the relevant categories.","A noun class/gender system categorizes nouns for the purposes of grammatical [agreement](https://github.com/grambank/grambank/wiki/Agreement) with other constituents in the noun phrase or other inflectional morphology. See the [classification wiki page](https://github.com/grambank/grambank/wiki/Noun-Classes-and-Classifiers) for more information on our definition of noun class/gender. Noun class/gender assignment may be based on one or several factors. This feature focuses on whether the categories _masculine_ and _feminine_ are relevant for noun class/gender assignment in a given language. A contrast between these categories in a noun class/gender system serves as a minimal criterion for this feature to be coded 1. Languages that overtly mark only one of these categories (e.g. feminine, with an unmarked class interpreted as non-feminine) do encode the relevant distinction and should be coded 1. A language may encode other socially or culturally relevant gender distinctions, and there may be cross-linguistic and cross-cultural differences in the semantics and membership of masculine and feminine categories. A language may also categorize nouns based on other factors entirely (e.g. shape, animacy, phonological properties). For the purposes of this feature, grammatical categories other than masculine and feminine should be disregarded. 

The use of these two specific categories in the definition of this feature is meant to enable consistent coding and interpretation of data for a narrowly-defined, cross-linguistically common distinction. This is not meant to represent social or cultural gender constructs or particular biological traits, nor is it intended to reflect the full diversity of grammatical gender systems. For more information on the difference between grammatical gender and social, cultural, and biological constructs or traits, see the [gender wiki page](https://github.com/grambank/grambank/wiki/Grammatical-gender-and-other-notions-of-gender).",GB051 GenderSex
