id,statement,antecedent,consequent,logic,domain,source
U26,"If a language has discontinuous affixes, it always has either prefixing or suffixing or both.","language has discontinuous affixes (circumfixes or similar)","language also has prefixing or suffixing or both","implication","MORPHOLOGICAL_COMPLEXITY","Greenberg 1963"
U27,"If a language is exclusively suffixing, it is postpositional; if it is exclusively prefixing, it is prepositional.","language is exclusively suffixing","language is postpositional","implication","MORPHOLOGICAL_COMPLEXITY","Greenberg 1963"
U27b,"If a language is exclusively prefixing, it is prepositional.","language is exclusively prefixing","language is prepositional","implication","MORPHOLOGICAL_COMPLEXITY","Greenberg 1963"
U28,"If both the derivation and inflection follow the root, or they both precede the root, the derivation is always between the root and the inflection.","both derivation and inflection follow the root, OR both precede the root","derivation is always positioned between the root and the inflection","implication","MORPHOLOGICAL_COMPLEXITY","Greenberg 1963"
U29,"If a language has inflection, it always has derivation.","language has inflectional morphology","language also has derivational morphology","implication","MORPHOLOGICAL_COMPLEXITY","Greenberg 1963"
U30,"If the verb has categories of person-number or of gender, it always has tense-mode categories.","verb has categories of person-number or of gender","verb also has tense-mode (tense or mood) categories","implication","TENSE_ASPECT_MODALITY","Greenberg 1963"
U31,"If either the subject or object noun agrees with the verb in gender, then the adjective always agrees with the noun in gender.","subject noun or object noun agrees with the verb in gender","adjective agrees with the noun in gender","implication","AGREEMENT","Greenberg 1963"
U32,"Whenever the verb agrees with a nominal subject or nominal object in gender, it also agrees with them in number.","verb agrees with nominal subject or object in gender","verb also agrees with them in number","implication","AGREEMENT","Greenberg 1963"
U33,"When number agreement between the noun and verb is suspended and the rule is based on order, the case is always one in which the verb precedes and is in the singular.","number agreement between noun and verb is suspended and the rule is based on word order","the case is one where the verb precedes the noun and is in the singular","implication","AGREEMENT","Greenberg 1963"
U34,"No language has a trial number unless it has a dual. No language has a dual unless it has some nonsingular number categories.","language has a trial number category","language also has a dual number category","implication","MORPHOLOGICAL_COMPLEXITY","Greenberg 1963"
U34b,"No language has a dual unless it has some nonsingular number category.","language has a dual number category","language has at least one other nonsingular number category","implication","MORPHOLOGICAL_COMPLEXITY","Greenberg 1963"
U35,"There is no language in which the plural does not have some nonzero allomorphs, whereas there are languages in which the singular is expressed only by zero.","language has a plural category","plural has at least some nonzero allomorphs","absolute","MORPHOLOGICAL_COMPLEXITY","Greenberg 1963"
U36,"If a language has the category of gender, it always has the category of number.","language has grammatical gender","language also has grammatical number","implication","AGREEMENT","Greenberg 1963"
U37,"A language never has more gender categories in nonsingular numbers than in the singular.","language has gender categories","number of gender distinctions in nonsingular is less than or equal to number of gender distinctions in singular","absolute","AGREEMENT","Greenberg 1963"
U38,"Where there is a case system, the only case which ever has only zero allomorphs is the one which includes among its meanings that of the subject of the intransitive verb (the unmarked nominative or absolutive).","language has a case system with a case that has only zero allomorphs","that zero-allomorph case is the one that includes the meaning of subject of intransitive verb","implication","CASE","Greenberg 1963"
U39,"Where morphemes of both number and case are present and both follow or both precede the noun base, the expression of number almost always comes between the noun base and the expression of case.","language has both number and case morphemes and both occupy the same side of the noun base","the number morpheme is positioned between the noun base and the case morpheme","correlation","CASE","Greenberg 1963"
U40,"When the adjective follows the noun, the adjective expresses all the inflectional categories of the noun. In such cases the verb may lack overt expression of one or all of these categories.","adjective follows the noun","adjective expresses all inflectional categories of the noun","implication","AGREEMENT","Greenberg 1963"
U41,"If in a language the verb follows both the nominal subject and nominal object as the dominant order, the language almost always has a case system.","language has dominant SOV order (verb follows both subject and object)","language has a morphological case system","correlation","CASE","Greenberg 1963"
U42,"All languages have pronominal categories involving at least three persons and two numbers.","any language","language has at least three person distinctions and two number distinctions in pronouns","absolute","MORPHOLOGICAL_COMPLEXITY","Greenberg 1963"
U43,"If a language has gender categories in the noun, it has gender categories in the pronoun.","language has grammatical gender distinctions in nouns","language also has grammatical gender distinctions in pronouns","implication","AGREEMENT","Greenberg 1963"
U44,"If a language has gender distinctions in the first person, it always has gender distinctions in the second or third person, or in both.","language has gender distinctions in first person pronouns","language has gender distinctions in second person pronouns or third person pronouns or both","implication","AGREEMENT","Greenberg 1963"
U45,"If there are any gender distinctions in the plural of the pronoun, there are some gender distinctions in the singular also.","language has gender distinctions in plural pronouns","language has gender distinctions in singular pronouns","implication","AGREEMENT","Greenberg 1963"
